Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"U201","ESP32_NODEMCU","MODULE_ESP32_NODEMCU",-420.060000,-111.180000,90.000000,bottom
"C1","C","C_0603_1608Metric",181.260000,-106.685000,90.000000,top
"C2","C","C_0603_1608Metric",183.660000,-106.685000,90.000000,top
"C3","C","C_0603_1608Metric",186.060000,-106.685000,90.000000,top
"C4","C","C_0603_1608Metric",188.460000,-106.685000,90.000000,top
"C5","C","C_0603_1608Metric",190.860000,-106.685000,90.000000,top
"C6","C","C_0603_1608Metric",193.260000,-106.685000,90.000000,top
"C7","C","C_0603_1608Metric",195.660000,-106.685000,90.000000,top
"C8","C","C_0603_1608Metric",198.060000,-106.685000,90.000000,top
"C9","C","C_0603_1608Metric",200.460000,-106.685000,90.000000,top
"C10","C","C_0603_1608Metric",202.860000,-106.685000,90.000000,top
"C11","C","C_0603_1608Metric",205.260000,-106.685000,90.000000,top
"C12","C","C_0603_1608Metric",207.660000,-106.685000,90.000000,top
"C13","C","C_0603_1608Metric",210.060000,-106.685000,90.000000,top
"C14","C","C_0603_1608Metric",212.460000,-106.685000,90.000000,top
"C15","C","C_0603_1608Metric",214.860000,-106.685000,90.000000,top
"C16","C","C_0603_1608Metric",217.260000,-106.685000,90.000000,top
"C17","C","C_0603_1608Metric",219.660000,-106.685000,90.000000,top
"C18","C","C_0603_1608Metric",222.060000,-106.685000,90.000000,top
"C19","C","C_0603_1608Metric",224.460000,-106.685000,90.000000,top
"C20","C","C_0603_1608Metric",226.860000,-106.685000,90.000000,top
"C21","C","C_0603_1608Metric",229.260000,-106.685000,90.000000,top
"C22","C","C_0603_1608Metric",231.660000,-106.685000,90.000000,top
"C23","C","C_0603_1608Metric",234.060000,-106.685000,90.000000,top
"C24","C","C_0603_1608Metric",236.460000,-106.685000,90.000000,top
"C25","C","C_0603_1608Metric",238.860000,-106.685000,90.000000,top
"C26","C","C_0603_1608Metric",241.260000,-106.685000,90.000000,top
"C27","C","C_0603_1608Metric",243.660000,-106.685000,90.000000,top
"C28","C","C_0603_1608Metric",246.060000,-106.685000,90.000000,top
"C29","C","C_0603_1608Metric",248.460000,-106.685000,90.000000,top
"C30","C","C_0603_1608Metric",250.860000,-106.685000,90.000000,top
"C31","C","C_0603_1608Metric",253.260000,-106.685000,90.000000,top
"C32","C","C_0603_1608Metric",255.660000,-106.685000,90.000000,top
"C33","C","C_0603_1608Metric",258.060000,-106.685000,90.000000,top
"C34","C","C_0603_1608Metric",260.460000,-106.685000,90.000000,top
"C35","C","C_0603_1608Metric",262.860000,-106.685000,90.000000,top
"C36","C","C_0603_1608Metric",265.260000,-106.685000,90.000000,top
"C37","C","C_0603_1608Metric",267.660000,-106.685000,90.000000,top
"C38","C","C_0603_1608Metric",270.060000,-106.685000,90.000000,top
"C39","C","C_0603_1608Metric",272.460000,-106.685000,90.000000,top
"C40","C","C_0603_1608Metric",274.860000,-106.685000,90.000000,top
"C41","C","C_0603_1608Metric",277.260000,-106.685000,90.000000,top
"C42","C","C_0603_1608Metric",279.660000,-106.685000,90.000000,top
"C43","C","C_0603_1608Metric",282.060000,-106.685000,90.000000,top
"C44","C","C_0603_1608Metric",284.460000,-106.685000,90.000000,top
"C45","C","C_0603_1608Metric",286.860000,-106.685000,90.000000,top
"C46","C","C_0603_1608Metric",289.260000,-106.685000,90.000000,top
"C47","C","C_0603_1608Metric",291.660000,-106.685000,90.000000,top
"C48","C","C_0603_1608Metric",294.060000,-106.685000,90.000000,top
"C49","C","C_0603_1608Metric",296.460000,-106.685000,90.000000,top
"C50","C","C_0603_1608Metric",298.860000,-106.685000,90.000000,top
"C51","C","C_0603_1608Metric",301.260000,-106.685000,90.000000,top
"C52","C","C_0603_1608Metric",303.660000,-106.685000,90.000000,top
"C53","C","C_0603_1608Metric",306.060000,-106.685000,90.000000,top
"C54","C","C_0603_1608Metric",308.460000,-106.685000,90.000000,top
"C55","C","C_0603_1608Metric",310.860000,-106.685000,90.000000,top
"C56","C","C_0603_1608Metric",313.260000,-106.685000,90.000000,top
"C57","C","C_0603_1608Metric",315.660000,-106.685000,90.000000,top
"C58","C","C_0603_1608Metric",318.060000,-106.685000,90.000000,top
"C59","C","C_0603_1608Metric",320.460000,-106.685000,90.000000,top
"C60","C","C_0603_1608Metric",322.860000,-106.685000,90.000000,top
"C61","C","C_0603_1608Metric",325.260000,-106.685000,90.000000,top
"C62","C","C_0603_1608Metric",327.660000,-106.685000,90.000000,top
"C63","C","C_0603_1608Metric",330.060000,-106.685000,90.000000,top
"C64","C","C_0603_1608Metric",332.460000,-106.685000,90.000000,top
"C65","C","C_0603_1608Metric",334.860000,-106.685000,90.000000,top
"C66","C","C_0603_1608Metric",337.260000,-106.685000,90.000000,top
"C67","C","C_0603_1608Metric",339.660000,-106.685000,90.000000,top
"C68","C","C_0603_1608Metric",342.060000,-106.685000,90.000000,top
"C69","C","C_0603_1608Metric",344.460000,-106.685000,90.000000,top
"C70","C","C_0603_1608Metric",346.860000,-106.685000,90.000000,top
"C71","C","C_0603_1608Metric",349.260000,-106.685000,90.000000,top
"C72","C","C_0603_1608Metric",351.660000,-106.685000,90.000000,top
"C73","C","C_0603_1608Metric",354.060000,-106.685000,90.000000,top
"C74","C","C_0603_1608Metric",356.460000,-106.685000,90.000000,top
"C75","C","C_0603_1608Metric",358.860000,-106.685000,90.000000,top
"C76","C","C_0603_1608Metric",361.260000,-106.685000,90.000000,top
"C77","C","C_0603_1608Metric",363.660000,-106.685000,90.000000,top
"C78","C","C_0603_1608Metric",366.060000,-106.685000,90.000000,top
"C79","C","C_0603_1608Metric",368.460000,-106.685000,90.000000,top
"C80","C","C_0603_1608Metric",370.860000,-106.685000,90.000000,top
"C81","C","C_0603_1608Metric",373.260000,-106.685000,90.000000,top
"C82","C","C_0603_1608Metric",375.660000,-106.685000,90.000000,top
"C83","C","C_0603_1608Metric",378.060000,-106.685000,90.000000,top
"C84","C","C_0603_1608Metric",380.460000,-106.685000,90.000000,top
"C85","C","C_0603_1608Metric",382.860000,-106.685000,90.000000,top
"C86","C","C_0603_1608Metric",385.260000,-106.685000,90.000000,top
"C87","C","C_0603_1608Metric",387.660000,-106.685000,90.000000,top
"C88","C","C_0603_1608Metric",390.060000,-106.685000,90.000000,top
"C89","C","C_0603_1608Metric",392.460000,-106.685000,90.000000,top
"C90","C","C_0603_1608Metric",394.860000,-106.685000,90.000000,top
"C91","C","C_0603_1608Metric",397.260000,-106.685000,90.000000,top
"C92","C","C_0603_1608Metric",399.660000,-106.685000,90.000000,top
"C93","C","C_0603_1608Metric",402.060000,-106.685000,90.000000,top
"C94","C","C_0603_1608Metric",404.460000,-106.685000,90.000000,top
"C95","C","C_0603_1608Metric",406.860000,-106.685000,90.000000,top
"C96","C","C_0603_1608Metric",409.260000,-106.685000,90.000000,top
"C97","C","C_0603_1608Metric",411.660000,-106.685000,90.000000,top
"C98","C","C_0603_1608Metric",414.060000,-106.685000,90.000000,top
"C99","C","C_0603_1608Metric",416.460000,-106.685000,90.000000,top
"C100","C","C_0603_1608Metric",418.860000,-106.685000,90.000000,top
"C101","C","C_0603_1608Metric",421.260000,-106.685000,90.000000,top
"C102","C","C_0603_1608Metric",423.660000,-106.685000,90.000000,top
"C103","C","C_0603_1608Metric",426.060000,-106.685000,90.000000,top
"C104","C","C_0603_1608Metric",428.460000,-106.685000,90.000000,top
"C105","C","C_0603_1608Metric",430.860000,-106.685000,90.000000,top
"C106","C","C_0603_1608Metric",433.260000,-106.685000,90.000000,top
"C107","C","C_0603_1608Metric",435.660000,-106.685000,90.000000,top
"C108","C","C_0603_1608Metric",438.060000,-106.685000,90.000000,top
"C109","C","C_0603_1608Metric",440.460000,-106.685000,90.000000,top
"C110","C","C_0603_1608Metric",442.860000,-106.685000,90.000000,top
"C111","C","C_0603_1608Metric",445.260000,-106.685000,90.000000,top
"C112","C","C_0603_1608Metric",447.660000,-106.685000,90.000000,top
"C113","C","C_0603_1608Metric",450.060000,-106.685000,90.000000,top
"C114","C","C_0603_1608Metric",452.460000,-106.685000,90.000000,top
"C115","C","C_0603_1608Metric",454.860000,-106.685000,90.000000,top
"C116","C","C_0603_1608Metric",457.260000,-106.685000,90.000000,top
"C117","C","C_0603_1608Metric",459.660000,-106.685000,90.000000,top
"C118","C","C_0603_1608Metric",462.060000,-106.685000,90.000000,top
"C119","C","C_0603_1608Metric",464.460000,-106.685000,90.000000,top
"C120","C","C_0603_1608Metric",466.860000,-106.685000,90.000000,top
"C121","C","C_0603_1608Metric",469.260000,-106.685000,90.000000,top
"C122","C","C_0603_1608Metric",471.660000,-106.685000,90.000000,top
"C123","C","C_0603_1608Metric",474.060000,-106.685000,90.000000,top
"C124","C","C_0603_1608Metric",476.460000,-106.685000,90.000000,top
"C125","C","C_0603_1608Metric",478.860000,-106.685000,90.000000,top
"C126","C","C_0603_1608Metric",481.260000,-106.685000,90.000000,top
"C127","C","C_0603_1608Metric",483.660000,-106.685000,90.000000,top
"C128","C","C_0603_1608Metric",486.060000,-106.685000,90.000000,top
"C129","C","C_0603_1608Metric",488.460000,-106.685000,90.000000,top
"C130","C","C_0603_1608Metric",490.860000,-106.685000,90.000000,top
"C131","C","C_0603_1608Metric",493.260000,-106.685000,90.000000,top
"C132","C","C_0603_1608Metric",495.660000,-106.685000,90.000000,top
"C133","C","C_0603_1608Metric",498.060000,-106.685000,90.000000,top
"C134","C","C_0603_1608Metric",500.460000,-106.685000,90.000000,top
"C135","C","C_0603_1608Metric",502.860000,-106.685000,90.000000,top
"C136","C","C_0603_1608Metric",505.260000,-106.685000,90.000000,top
"C137","C","C_0603_1608Metric",507.660000,-106.685000,90.000000,top
"C138","C","C_0603_1608Metric",510.060000,-106.685000,90.000000,top
"C139","C","C_0603_1608Metric",512.460000,-106.685000,90.000000,top
"C140","C","C_0603_1608Metric",514.860000,-106.685000,90.000000,top
"C141","C","C_0603_1608Metric",517.260000,-106.685000,90.000000,top
"C142","C","C_0603_1608Metric",519.660000,-106.685000,90.000000,top
"C143","C","C_0603_1608Metric",522.060000,-106.685000,90.000000,top
"C144","C","C_0603_1608Metric",524.460000,-106.685000,90.000000,top
"C145","C","C_0603_1608Metric",526.860000,-106.685000,90.000000,top
"C146","C","C_0603_1608Metric",529.260000,-106.685000,90.000000,top
"C147","C","C_0603_1608Metric",531.660000,-106.685000,90.000000,top
"C148","C","C_0603_1608Metric",534.060000,-106.685000,90.000000,top
"C149","C","C_0603_1608Metric",536.460000,-106.685000,90.000000,top
"C150","C","C_0603_1608Metric",538.860000,-106.685000,90.000000,top
"C151","C","C_0603_1608Metric",541.260000,-106.685000,90.000000,top
"C152","C","C_0603_1608Metric",543.660000,-106.685000,90.000000,top
"C153","C","C_0603_1608Metric",546.060000,-106.685000,90.000000,top
"C154","C","C_0603_1608Metric",548.460000,-106.685000,90.000000,top
"C155","C","C_0603_1608Metric",550.860000,-106.685000,90.000000,top
"C156","C","C_0603_1608Metric",553.260000,-106.685000,90.000000,top
"C157","C","C_0603_1608Metric",555.660000,-106.685000,90.000000,top
"C158","C","C_0603_1608Metric",558.060000,-106.685000,90.000000,top
"C159","C","C_0603_1608Metric",560.460000,-106.685000,90.000000,top
"C160","C","C_0603_1608Metric",562.860000,-106.685000,90.000000,top
"C161","C","C_0603_1608Metric",565.260000,-106.685000,90.000000,top
"C162","C","C_0603_1608Metric",567.660000,-106.685000,90.000000,top
